City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,nova sintra,14.8667,-24.7167,26.23,76,87,4.17,CV,1726545861
144,amga,60.8953,131.9608,8.99,49,16,3.85,RU,1726545862
145,berdychiv,49.8993,28.6024,13.48,53,4,4.03,UA,1726545863
146,quellon,-43.1167,-73.6167,5.72,82,99,2.21,CL,1726545864
147,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,41,40,4.0,RU,1726545867
148,nabire,-3.3667,135.4833,30.19,70,76,3.2,ID,1726545868
149,alotau,-10.3069,150.4462,24.2,97,100,3.35,PG,1726545869
150,pisco,-13.7,-76.2167,14.45,88,1,2.06,PE,1726545870
151,cromwell,41.5951,-72.6454,16.04,91,40,2.06,US,1726545871
152,kasongo-lunda,-6.4667,16.8167,22.37,90,63,1.23,CD,1726545872
153,nogliki,51.8333,143.1667,18.57,51,94,6.87,RU,1726545873
154,faya-largeau,17.9257,19.1043,31.81,38,42,2.13,TD,1726545874
155,khawr fakkan,25.3313,56.342,31.03,73,0,1.83,AE,1726545875
156,nova vicosa,-17.8919,-39.3719,23.64,80,0,4.86,BR,1726545876
157,alesund,62.4723,6.1549,13.2,77,75,6.69,NO,1726545877
158,luena,-11.7833,19.9167,16.84,34,2,1.59,AO,1726545878
159,lebu,-37.6167,-73.65,8.87,90,100,4.81,CL,1726545879
160,bakanas,44.8081,76.2772,12.7,34,89,9.26,KZ,1726545880
161,kapuskasing,49.4169,-82.4331,23.0,68,20,4.12,CA,1726545882
162,luganville,-15.5333,167.1667,24.13,80,100,4.96,VU,1726545883
163,mali,12.079,-12.2982,14.57,94,88,1.65,GN,1726545884
164,glace bay,46.1969,-59.957,20.5,79,75,12.35,CA,1726545885
165,qaqortoq,60.7167,-46.0333,4.29,87,100,0.66,GL,1726545886
166,dondo,-19.6094,34.7431,20.73,97,6,1.25,MZ,1726545887
167,saudarkrokur,65.7461,-19.6394,5.92,88,98,2.03,IS,1726545888
